(55, 34, 18, 'entropy', 'weighted', 'log2') -0.036641283655153754
(102, 10, 24, 'entropy', 'weighted', 'log2') -0.03669023660592888
(138, 38, 20, 'entropy', 'weighted', 'log2') -0.03686445291235721
(21, 44, 14, 'entropy', 'weighted', 'log2') -0.036980413492927244
(67, 30, 33, 'entropy', 'weighted', 'log2') -0.036994015233949996
(138, 38, 21, 'entropy', 'weighted', 'log2') -0.03700163398692821
(137, 44, 38, 'entropy', 'weighted', 'log2') -0.037027762656505335
(144, 23, 33, 'gini', 'weighted', 'log2') -0.0370759597059626
(35, 43, 38, 'gini', 'weighted', 'sqrt') -0.03714091403699688
(66, 30, 15, 'gini', 'weighted', 'log2') -0.0372524483133843
(23, 10, 13, 'entropy', 'weighted', 'log2') -0.03749381017881715
(105, 42, 23, 'entropy', 'weighted', 'log2') -0.03754147402774006
(85, 37, 18, 'gini', 'weighted', 'log2') -0.03763136400762329
(106, 24, 37, 'gini', 'weighted', 'log2') -0.03772776868521565
(18, 29, 39, 'entropy', 'weighted', 'log2') -0.037738160043549324
(135, 19, 23, 'gini', 'weighted', 'log2') -0.03777777777777791
(53, 42, 21, 'gini', 'weighted', 'sqrt') -0.03801686615886843
(107, 16, 35, 'gini', 'weighted', 'log2') -0.038027747551686655
(25, 36, 35, 'gini', 'weighted', 'log2') -0.03820233886320378
(112, 22, 14, 'gini', 'weighted', 'log2') -0.038215745028602754
(41, 3, 22, 'entropy', 'weighted', 'sqrt') -0.03830152671755735
(14, 18, 40, 'entropy', 'weighted', 'sqrt') -0.038479803493449996
(65, 38, 36, 'gini', 'weighted', 'log2') -0.03855976041383076
(41, 16, 10, 'entropy', 'weighted', 'log2') -0.03858580364427539
(135, 21, 39, 'entropy', 'weighted', 'log2') -0.03863797330427687
(103, 42, 30, 'gini', 'weighted', 'log2') -0.03878944504896641
(52, 29, 31, 'entropy', 'weighted', 'log2') -0.03879781420765042
(89, 16, 26, 'gini', 'weighted', 'log2') -0.03889311939080786
(82, 7, 19, 'gini', 'weighted', 'sqrt') -0.038925552222525396
(41, 25, 21, 'gini', 'weighted', 'sqrt') -0.03892944701716161
(65, 37, 19, 'gini', 'weighted', 'log2') -0.03894406548431118
(69, 15, 12, 'gini', 'weighted', 'sqrt') -0.039009523809523945
(111, 43, 39, 'entropy', 'weighted', 'log2') -0.039074578116494424
(113, 32, 22, 'gini', 'weighted', 'log2') -0.03909016168813381
(58, 40, 16, 'entropy', 'weighted', 'log2') -0.03916417097740282
(68, 27, 15, 'gini', 'weighted', 'sqrt') -0.0391685082872929
(100, 28, 39, 'gini', 'weighted', 'log2') -0.03932097082083464
(100, 32, 26, 'entropy', 'weighted', 'log2') -0.03940920228695903
(113, 30, 23, 'gini', 'weighted', 'sqrt') -0.03942896935933167
(113, 17, 29, 'gini', 'weighted', 'log2') -0.0394335511982572
(117, 19, 40, 'gini', 'weighted', 'log2') -0.03947209238383288
(67, 32, 22, 'entropy', 'weighted', 'sqrt') -0.039537666576013084
(20, 31, 34, 'gini', 'weighted', 'sqrt') -0.03977880939377404
(148, 49, 10, 'gini', 'weighted', 'log2') -0.03985574305933603
(58, 36, 35, 'entropy', 'weighted', 'log2') -0.039902067464635566
(86, 42, 30, 'gini', 'weighted', 'log2') -0.03996463547334072
(136, 28, 10, 'entropy', 'weighted', 'log2') -0.039997272231314926
(102, 36, 13, 'gini', 'weighted', 'log2') -0.040212129453358815
(35, 15, 17, 'gini', 'weighted', 'log2') -0.04030601092896172
(106, 35, 34, 'gini', 'weighted', 'log2') -0.04046111869031391
(11, 15, 15, 'entropy', 'weighted', 'sqrt') -0.04051184317996198
(10, 37, 40, 'entropy', 'weighted', 'sqrt') -0.04052230685527757
(133, 49, 35, 'entropy', 'weighted', 'log2') -0.04065631808278883
(141, 33, 22, 'entropy', 'weighted', 'sqrt') -0.04078052760402515
(22, 39, 39, 'gini', 'weighted', 'log2') -0.04095562210726937
(100, 48, 31, 'gini', 'weighted', 'log2') -0.04108446866485027
